=== LANÇAMENTOS POR ANO ===
Regra: Cada empreendimento é contado quando o incorporador o insere no sistema como lançamento.
Fases posteriores são ignoradas.

Ano: 2021
Total lançamentos: 40
Empreendimentos Lançados:

  - 01 | APEX ENGENHARIA COM E IND LTDA | Samambaia | EMP_103
  - 01 | BRASAL INCORPORAÇÕES | Noroeste | EMP_101
  - 01 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Noroeste | EMP_102
  - 02 | EMPLAVI INCORPORAÇÕES | Águas Claras | EMP_104
  - 02 | HABITAR EMPREENDIMENTOS IMOBILIÁRIOS LTDA | Ceilândia | EMP_106
  - 02 | SUPERA ENGENHARIA/STYLOS ENGENHARIA | Noroeste | EMP_107
  - 02 | TERRAL INCORPORADORA | Águas Claras | EMP_105
  - 03 | CONSTRUTORA VILLELA E CARVALHO LTDA | Noroeste | EMP_108
  - 03 | DIRECIONAL INCORPORAÇÕES | Planaltina | EMP_109
  - 03 | DIRECIONAL INCORPORAÇÕES | Santa Maria | EMP_110
  - 04 | BRASAL INCORPORAÇÕES | Noroeste | EMP_111
  - 04 | SOLTEC ENGENHARIA LTDA | Park Sul | EMP_112
  - 05 | APEX ENGENHARIA COM E IND LTDA | Samambaia | EMP_113
  - 05 | DIRECIONAL INCORPORAÇÕES | Samambaia | EMP_115
  - 05 | EMPLAVI INCORPORAÇÕES | Sudoeste | EMP_116
  - 05 | EMPLAVI INCORPORAÇÕES | Sudoeste | EMP_117
  - 05 | EMPLAVI INCORPORAÇÕES | Sudoeste | EMP_118
  - 05 | FAENGE FIGUEIREDO AVILA ENGENHARIA LTDA | Noroeste | EMP_114
  - 06 | DIRECIONAL INCORPORAÇÕES | Santa Maria | EMP_120
  - 06 | ECAP ENGENHARIA LTDA | Noroeste | EMP_119
  - 07 | CONSTRUTORA VILLELA E CARVALHO LTDA | Noroeste | EMP_121
  - 08 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Sudoeste | EMP_124
  - 08 | BRASAL INCORPORAÇÕES | Noroeste | EMP_123
  - 08 | EMPLAVI INCORPORAÇÕES | Guará | EMP_122
  - 09 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Park Sul | EMP_127
  - 09 | CONBRAL SA | Guará | EMP_125
  - 09 | EMPLAVI INCORPORAÇÕES | Noroeste | EMP_126
  - 10 | CONSTRUTORA VILLELA E CARVALHO LTDA | Noroeste | EMP_129
  - 10 | ECAP ENGENHARIA LTDA | Noroeste | EMP_130
  - 10 | EMPLAVI INCORPORAÇÕES | Noroeste | EMP_132
  - 10 | LOTUS CONSTRUTORA | Noroeste | EMP_133
  - 10 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Guará | EMP_128
  - 10 | PAULO OCTAVIO INVESTIMENTOS IMOBILIÁRIOS LTDA | Noroeste | EMP_131
  - 10 | SOLTEC ENGENHARIA LTDA | Noroeste | EMP_134
  - 10 | SOLTEC ENGENHARIA LTDA | Noroeste | EMP_135
  - 11 | BRASAL INCORPORAÇÕES | Guará | EMP_136
  - 11 | BRASAL INCORPORAÇÕES | Noroeste | EMP_138
  - 11 | CONSTRUTORA VILLELA E CARVALHO LTDA | Noroeste | EMP_137
  - 12 | APEX ENGENHARIA COM E IND LTDA | Samambaia | EMP_139
  - 12 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Sudoeste | EMP_140

Ano: 2022
Total lançamentos: 23
Empreendimentos Lançados:

  - 02 | BASE INVESTIMENTOS E INCORPORAÇÕES SA | Sudoeste | PARQUE PLANALTO
  - 02 | DIRECIONAL INCORPORAÇÕES | Recanto das Emas | RECANTO DAS ARARAS
  - 02 | ELMO ENGENHARIA | Águas Claras | NATURE RESIDENCE
  - 02 | EMPLAVI INCORPORAÇÕES | Noroeste | PALMEIRAS
  - 03 | CONBRAL SA | Gama | QUADRA PARQUE
  - 03 | TERRAL INCORPORADORA | Águas Claras | CASA PEDRA
  - 04 | BRASAL INCORPORAÇÕES | Noroeste | RESERVA 22
  - 04 | EMPLAVI INCORPORAÇÕES | Guará | ILHA BELA
